Wave Flux FluxCon
3465.0 1.238735 0.673674595867
3465.4 1.236343 0.782192883469
3465.8 1.239327 0.882468410068
3466.2 1.240318 0.970406666497
3466.6 1.233276 1.04355395724
3467.0 1.2322 1.10120497967
3467.4 1.231285 1.14417655957
3467.8 1.231049 1.17435845795
3468.2 1.231034 1.19418845434
3468.6 1.22841 1.20618297737
3469.0 1.224135 1.21260397396
3469.4 1.222362 1.21528416213
3469.8 1.221858 1.21558792269
3470.2 1.213321 1.21446200416
3470.6 1.212935 1.2125280915
3471.0 1.215357 1.21018094525
3471.4 1.210542 1.20767171122
3471.8 1.199357 1.20516779075
3472.2 1.200018 1.20279046786
3472.6 1.198227 1.20062425319
3473.0 1.192866 1.19876376494
3473.4 1.191724 1.19726578945
3473.8 1.193271 1.19617153169
3474.2 1.189999 1.19550222835
3474.6 1.188543 1.19525585609
3475.0 1.191041 1.19540549703
3475.4 1.191937 1.19589969346
3475.8 1.192374 1.19666459543
3476.2 1.197308 1.19760871337
3476.6 1.200627 1.19863003787
3477.0 1.199925 1.19962423059
3477.4 1.203471 1.20049407199
3477.8 1.210155 1.20115797833
3478.2 1.206702 1.20155612053
3478.6 1.203889 1.20165483896
3479.0 1.203144 1.20144731677
3479.4 1.206007 1.20095186676
3479.8 1.203054 1.20020830186
3480.2 1.200623 1.1992731311
3480.6 1.199208 1.19821323441
3481.0 1.196223 1.19709936819
3481.4 1.193567 1.19599977374
3481.8 1.195173 1.1949732347
3482.2 1.189326 1.19406291427
3482.6 1.189716 1.19329236628
3483.0 1.18972 1.19266313701
3483.4 1.187784 1.19215532582
3483.8 1.194989 1.19173099554
3484.2 1.193732 1.1913398081
3484.6 1.190968 1.19092600484
3485.0 1.19195 1.19043587713
3485.4 1.189606 1.18982553986
3485.8 1.194072 1.18906678613
3486.2 1.193346 1.18815069644
3486.6 1.187897 1.18708867828
3487.0 1.187778 1.18590959021
3487.4 1.189012 1.18465333915
3487.8 1.182701 1.18336190339
3488.2 1.172244 1.18206972465
3488.6 1.175502 1.18079603345
3489.0 1.180729 1.17954120312
3489.4 1.178086 1.17828862198
3489.8 1.182218 1.17701118251
3490.2 1.180895 1.17568065891
3490.6 1.17504 1.17427730789
3491.0 1.172992 1.17279728933
3491.4 1.173275 1.17125586349
3491.8 1.17236 1.16968704004
3492.2 1.163535 1.16813986004
3492.6 1.163717 1.16667314733
3493.0 1.164169 1.16535004657
3493.4 1.162655 1.16423288658
3493.8 1.161537 1.16337928603
3494.2 1.160069 1.16283829497
3494.6 1.154427 1.16264742812
3495.0 1.155639 1.16282982548
3495.4 1.159758 1.16339194814
3495.8 1.163244 1.16432165951
3496.2 1.162375 1.16558717114
3496.6 1.164789 1.16713751901
3497.0 1.163236 1.16890368883
3497.4 1.169399 1.17080154652
3497.8 1.171546 1.17273677598
3498.2 1.178632 1.17461113804
3498.6 1.184671 1.17632991175
3499.0 1.18129 1.17781035155
3499.4 1.181239 1.17898873968
3499.8 1.18443 1.17982622984
3500.2 1.185982 1.18031191992
3500.6 1.185822 1.18046385277
3501.0 1.185626 1.18032612304
3501.4 1.180218 1.17996323998
3501.8 1.180229 1.17945238499
3502.2 1.177457 1.17887416748
3502.6 1.174431 1.17830337818
3503.0 1.17362 1.17780128305
3503.4 1.17448 1.17741033571
3503.8 1.177659 1.17715155256
3504.2 1.175431 1.17702477266
3504.6 1.176485 1.17701105305
3505.0 1.176461 1.17707595277
3505.4 1.177326 1.17717435919
3505.8 1.172885 1.17725516062
3506.2 1.179057 1.17726694569
3506.6 1.183218 1.17716409887
3507.0 1.183683 1.17691207282
3507.4 1.177557 1.17649210081
3507.8 1.176482 1.17590356817
3508.2 1.177688 1.17516352632
3508.6 1.175892 1.17430383518
3509.0 1.173884 1.17336658259
3509.4 1.170104 1.17239911693
3509.8 1.169529 1.17144988426
3510.2 1.168087 1.17056539282
3510.6 1.170311 1.16978898067
3511.0 1.168703 1.16916035021
3511.4 1.167903 1.1687146278
3511.8 1.166938 1.16848104898
3512.2 1.162394 1.16848012298
3512.6 1.162819 1.16872040991
3513.0 1.166577 1.16919604619
3513.4 1.16659 1.16988582431
3513.8 1.170856 1.17075401611
3514.2 1.172623 1.1717541693
3514.6 1.172476 1.17283373045
3515.0 1.174152 1.17393971345
3515.4 1.176237 1.17502378364
3515.8 1.178795 1.1760463469
3516.2 1.176701 1.17697918672
3516.6 1.179712 1.17780638554
3517.0 1.183048 1.17852403072
3517.4 1.180915 1.1791380552
3517.8 1.178039 1.17966170474
3518.2 1.180431 1.18011201596
3518.6 1.178338 1.1805067627
3519.0 1.179752 1.18086183055
3519.4 1.186157 1.18119020032
3519.8 1.182517 1.18150145003
3520.2 1.178466 1.18180213527
3520.6 1.180769 1.18209696513
3521.0 1.183346 1.18238960438
3521.4 1.186059 1.18268307975
3521.8 1.182754 1.18298033619
3522.2 1.179548 1.1832843413
3522.6 1.183247 1.1835982726
3523.0 1.185501 1.18392592985
3523.4 1.185512 1.18427207537
3523.8 1.183141 1.18464276099
3524.2 1.186254 1.18504444216
3524.6 1.1841 1.18548251589
3525.0 1.184725 1.18595941054
3525.4 1.186408 1.18647223797
3525.8 1.186638 1.18701083971
3526.2 1.182979 1.18755747513
3526.6 1.188513 1.18808786966
3527.0 1.193408 1.18857441681
3527.4 1.191713 1.18899071071
3527.8 1.190595 1.18931620293
3528.2 1.190276 1.18954041096
3528.6 1.189934 1.18966531151
3529.0 1.190898 1.18970520854
3529.4 1.193398 1.18968386251
